"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"热能与动力机械制造工艺学","陶正良","上海理工大学","机械工业出版社",,"十五","本科",
"效果图","许喜华","浙江大学","机械工业出版社",,"十五","本科",
"惯性导航","秦永元","西北工业大学","科学出版社",,"十五","本科",
"红外成像阵列与系统","常本康","南京理工大学","科学出版社",,"十五","本科",
"文学理论简编","巴.格日勒图         楚鲁","内蒙古大学","内蒙古大学出版社",,"十五","本科",
"机械原理教程及辅导与习题（第2版）","申永胜","清华大学","清华大学出版社",,"十五","本科",
"资源效率与生态规划管理","武春友","大连理工大学","清华大学出版社",,"十五","本科",
"伦理学","周中之","上海师范大学","人民出版社",,"十五","本科",
"精神病学（七年制医学专业）","张亚林","中南大学","人民教育出版社",,"十五","本科",
"现代课程与教学论学程","黄甫全","华南师范大学","人民教育出版社",,"十五","本科",
"新编教育学","韩延明","临沂师范学院","人民教育出版社",,"十五","本科",
"教育概论","叶澜","华东师范大学","人民教育出版社",,"十五","本科",
"光纤通信","顾畹仪","北京邮电大学","人民邮电出版社",,"十五","本科",
"电工电子学（上、下册）","刘润华","石油大学","石油大学出版社",,"十五","本科",
"输油管道设计与管理","杨筱蘅","石油大学（北京）","石油大学出版社",,"十五","本科",
"油藏工程原理与方法","姜汉桥等","石油大学（华东）","石油大学出版社",,"十五","本科",
"油气集输与矿场加工","冯叔初、郭揆常等","石油大学（华东）","石油大学出版社",,"十五","本科",
"钻井工程理论与技术","陈庭根、管志川","石油大学（华东）","石油大学出版社",,"十五","本科",
"当代大学德语","梁敏","北京外国语大学","外语教学与研究出版社",,"十五","本科",
"俄罗斯国情多媒体教程―俄罗斯历史","戴桂菊","北京外国语大学","外语教学与研究出版社",,"十五","本科",
"高级英语视听说","朱鑫茂","北京外国语大学","外语教学与研究出版社",,"十五","本科",
"日语精读(第一册)","宿久高","吉林大学","外语教学与研究出版社",,"十五","本科",
"新编大学德语(1-4)","朱建华","同济大学","外语教学与研究出版社",,"十五","本科",
"新编日语泛读(1-4)","王秀文","大连民族学院","外语教学与研究出版社",,"十五","本科",
"核反应堆物理分析","谢仲生","西安交通大学","西安交通大学出版社、原子能出版社",,"十五","本科",
"核反应堆安全分析","朱继洲","西安交通大学","西安交通大学出版社、原子能出版社",,"十五","本科",
"材料成形工艺","齐克敏、丁桦","东北大学","冶金工业出版社",,"十五","本科",
"系统安全评价与预测","陈宝智","东北大学","冶金工业出版社",,"十五","本科",
"电机学","胡虔生等","东南大学","中国电力出版社",,"十五","本科",
"电力系统分析","陈怡","东南大学","中国电力出版社",,"十五","本科",
"电力系统分析","夏道止","西安交通大学","中国电力出版社",,"十五","本科",
"电力系统继电保护","张保会","西安交通大学","中国电力出版社",,"十五","本科",
"海洋调查方法导论","侍茂崇","青岛海洋大学","中国海洋大学出版社",,"十五","本科",
"试验研究方法","刘炯天、樊明强","中国矿业大学","中国矿业大学出版社",,"十五","本科",
"选煤工艺设计与管理","匡亚莉","中国矿业大学","中国矿业大学出版社",,"十五","本科",
"木材加工装备   木工机械  人造板机械","于志明","北京林业大学","中国林业出版社",,"十五","本科",
"室内与家具设计","吴智慧","南京林业大学","中国林业出版社",,"十五","本科",
"水土保持学(第2版）","王礼先","北京林业大学","中国林业出版社",,"十五","本科",
"园林植物遗传学","戴思兰","北京林业大学","中国林业出版社",,"十五","本科",
"综合绘画基础课程教学个案教案","陈守义","中国美术学院","中国美术学院出版社",,"十五","本科",
"加工纸与特种纸(第2版)","张运展","大连轻工业学院","中国轻工业出版社",,"十五","本科",
"粮油食品加工工艺学","陆启玉","郑州工程学院","中国轻工业出版社",,"十五","本科",
"皮革制品CAD/CAM ","弓太生","西北轻工业学院","中国轻工业出版社",,"十五","本科",
"鞣制化学(修订版)","陈武勇","四川大学","中国轻工业出版社",,"十五","本科",
"印刷与包装材料","武军","北京印刷学院","中国轻工业出版社",,"十五","本科",
"档案学概论（第2版）","冯惠玲、张辑哲","中国人民大学","中国人民大学出版社",,"十五","本科",
"国际政治学概论（第2版）","陈岳","中国人民大学","中国人民大学出版社",,"十五","本科",
"婚姻家庭法","杨大文、龙翼飞","中国人民大学","中国人民大学出版社",,"十五","本科",
"经济法","史际春","中国人民大学","中国人民大学出版社",,"十五","本科",
"劳动法","关怀、林嘉","中国人民大学","中国人民大学出版社",,"十五","本科",
"企业薪酬管理概论","李新建","南开大学","中国人民大学出版社",,"十五","本科",
"新闻编辑学","蔡雯","中国人民大学","中国人民大学出版社",,"十五","本科",
